,GameId,Date,TeamId,OppId,TeamScore,OppScore,TeamPoss,OppPoss,Team,Opp,Home
0,0022300061,2023-10-24,1610612743,1610612747,119,107,95,94,DEN,LAL,True
1,0022300062,2023-10-24,1610612744,1610612756,104,108,101,99,GSW,PHX,True
0,0022300061,2023-10-24,1610612747,1610612743,107,119,94,95,LAL,DEN,False
1,0022300062,2023-10-24,1610612756,1610612744,108,104,99,101,PHX,GSW,False
11,0022300072,2023-10-25,1610612758,1610612762,130,114,105,104,SAC,UTA,False
12,0022300073,2023-10-25,1610612742,1610612759,126,119,106,107,DAL,SAS,False
13,0022300074,2023-10-25,1610612757,1610612746,111,123,98,99,POR,LAC,False
8,0022300069,2023-10-25,1610612750,1610612761,94,97,100,99,MIN,TOR,False
7,0022300068,2023-10-25,1610612765,1610612748,102,103,94,95,DET,MIA,False
6,0022300067,2023-10-25,1610612739,1610612751,114,113,99,98,CLE,BKN,False
5,0022300066,2023-10-25,1610612745,1610612753,86,116,95,94,HOU,ORL,False
4,0022300065,2023-10-25,1610612738,1610612752,108,104,95,96,BOS,NYK,False
3,0022300064,2023-10-25,1610612764,1610612754,120,143,110,109,WAS,IND,False
2,0022300063,2023-10-25,1610612737,1610612766,110,116,104,103,ATL,CHA,False
10,0022300071,2023-10-25,1610612740,1610612763,111,104,103,102,NOP,MEM,False
9,0022300070,2023-10-25,1610612760,1610612741,124,104,99,99,OKC,CHI,False
13,0022300074,2023-10-25,1610612746,1610612757,123,111,99,98,LAC,POR,True
12,0022300073,2023-10-25,1610612759,1610612742,119,126,107,106,SAS,DAL,True
11,0022300072,2023-10-25,1610612762,1610612758,114,130,104,105,UTA,SAC,True
10,0022300071,2023-10-25,1610612763,1610612740,104,111,102,103,MEM,NOP,True
9,0022300070,2023-10-25,1610612741,1610612760,104,124,99,99,CHI,OKC,True
8,0022300069,2023-10-25,1610612761,1610612750,97,94,99,100,TOR,MIN,True
7,0022300068,2023-10-25,1610612748,1610612765,103,102,95,94,MIA,DET,True
6,0022300067,2023-10-25,1610612751,1610612739,113,114,98,99,BKN,CLE,True
5,0022300066,2023-10-25,1610612753,1610612745,116,86,94,95,ORL,HOU,True
4,0022300065,2023-10-25,1610612752,1610612738,104,108,96,95,NYK,BOS,True
3,0022300064,2023-10-25,1610612754,1610612764,143,120,109,110,IND,WAS,True
2,0022300063,2023-10-25,1610612766,1610612737,116,110,103,104,CHA,ATL,True
15,0022300076,2023-10-26,1610612756,1610612747,95,100,103,103,PHX,LAL,False
14,0022300075,2023-10-26,1610612755,1610612749,117,118,103,104,PHI,MIL,False
14,0022300075,2023-10-26,1610612749,1610612755,118,117,104,103,MIL,PHI,True
15,0022300076,2023-10-26,1610612747,1610612756,100,95,103,103,LAL,PHX,True
26,0022300087,2023-10-27,1610612744,1610612758,122,114,104,103,GSW,SAC,False
17,0022300078,2023-10-27,1610612743,1610612763,108,104,101,102,DEN,MEM,False
18,0022300079,2023-10-27,1610612752,1610612737,126,120,105,103,NYK,ATL,False
19,0022300080,2023-10-27,1610612748,1610612738,111,119,99,99,MIA,BOS,False
25,0022300086,2023-10-27,1610612753,1610612757,102,97,95,95,ORL,POR,False
24,0022300085,2023-10-27,1610612746,1610612762,118,120,99,99,LAC,UTA,False
23,0022300084,2023-10-27,1610612751,1610612742,120,125,100,100,BKN,DAL,False
22,0022300083,2023-10-27,1610612745,1610612759,122,126,110,108,HOU,SAS,False
16,0022300077,2023-10-27,1610612765,1610612766,111,99,106,105,DET,CHA,False
21,0022300082,2023-10-27,1610612761,1610612741,103,104,106,107,TOR,CHI,False
20,0022300081,2023-10-27,1610612760,1610612739,108,105,103,105,OKC,CLE,False
25,0022300086,2023-10-27,1610612757,1610612753,97,102,95,95,POR,ORL,True
18,0022300079,2023-10-27,1610612737,1610612752,120,126,103,105,ATL,NYK,True
19,0022300080,2023-10-27,1610612738,1610612748,119,111,99,99,BOS,MIA,True
20,0022300081,2023-10-27,1610612739,1610612760,105,108,105,103,CLE,OKC,True
17,0022300078,2023-10-27,1610612763,1610612743,104,108,102,101,MEM,DEN,True
24,0022300085,2023-10-27,1610612762,1610612746,120,118,99,99,UTA,LAC,True
23,0022300084,2023-10-27,1610612742,1610612751,125,120,100,100,DAL,BKN,True
26,0022300087,2023-10-27,1610612758,1610612744,114,122,103,104,SAC,GSW,True
21,0022300082,2023-10-27,1610612741,1610612761,104,103,107,106,CHI,TOR,True
22,0022300083,2023-10-27,1610612759,1610612745,126,122,108,110,SAS,HOU,True
16,0022300077,2023-10-27,1610612766,1610612765,99,111,105,106,CHA,DET,True
27,0022300088,2023-10-28,1610612741,1610612765,102,118,92,92,CHI,DET,False
33,0022300094,2023-10-28,1610612762,1610612756,104,126,99,100,UTA,PHX,False
28,0022300089,2023-10-28,1610612763,1610612764,106,113,102,103,MEM,WAS,False
27,0022300088,2023-10-28,1610612765,1610612741,118,102,92,92,DET,CHI,True
28,0022300089,2023-10-28,1610612764,1610612763,113,106,103,102,WAS,MEM,True
29,0022300090,2023-10-28,1610612740,1610612752,96,87,99,99,NOP,NYK,True
30,0022300091,2023-10-28,1610612739,1610612754,113,125,98,98,CLE,IND,True
31,0022300092,2023-10-28,1610612761,1610612755,107,114,92,93,TOR,PHI,True
32,0022300093,2023-10-28,1610612750,1610612748,106,90,98,98,MIN,MIA,True
33,0022300094,2023-10-28,1610612756,1610612762,126,104,100,99,PHX,UTA,True
29,0022300090,2023-10-28,1610612752,1610612740,87,96,99,99,NYK,NOP,False
30,0022300091,2023-10-28,1610612754,1610612739,125,113,98,98,IND,CLE,False
31,0022300092,2023-10-28,1610612755,1610612761,114,107,93,92,PHI,TOR,False
32,0022300093,2023-10-28,1610612748,1610612750,90,106,98,98,MIA,MIN,False
