Player,Age,Team,Pos,MIN,Usage Rank,Usage,PSA Rank,PSA,AST% Rank,AST%,AST:Usg Rank,AST:Usg,TOV% Rank,TOV%
Precious Achiuwa,24.1,TOR,Big,424,81,20.4%,12,105.6,81,14.2%,61,0.70,45,14.0%
Bam Adebayo,26.3,MIA,Big,712,95,28.1%,30,114.5,91,20.8%,69,0.74,63,12.0%
Ochai Agbaji,23.5,UTA,Wing,670,11,11.6%,59,116.9,14,6.9%,35,0.60,47,12.0%
Santi Aldama,22.8,MEM,Big,581,68,18.6%,18,109.4,66,12.1%,51,0.65,87,9.5%
Nickeil Alexander-Walker,25.2,MIN,Wing,665,35,14.1%,44,112.1,75,14.7%,95,1.05,25,13.7%
Grayson Allen,28.1,PHX,Wing,829,36,14.1%,98,134.4,57,11.2%,69,0.80,27,13.2%
Jarrett Allen,25.5,CLE,Big,807,55,16.1%,92,138.8,72,13.2%,76,0.82,26,16.1%
Jose Alvarado,25.6,NOP,Point,264,32,19.6%,41,111.3,5,16.4%,8,0.84,24,13.1%
Kyle Anderson,30.1,MIN,Forward,689,67,17.8%,19,101.5,96,24.4%,100,1.37,3,16.3%
Giannis Antetokounmpo,28.9,MIL,Forward,1078,100,33.1%,94,129.9,99,26.4%,78,0.80,14,13.6%
Cole Anthony,23.5,ORL,Point,760,57,25.9%,51,114.1,27,22.5%,14,0.87,46,11.6%
OG Anunoby,26.3,TOR,Wing,900,56,16.9%,78,121.1,48,10.7%,46,0.64,41,12.2%
Deni Avdija,22.8,WAS,Forward,833,69,18.8%,60,116.6,89,18.9%,94,1.01,25,12.2%
Deandre Ayton,25.3,POR,Big,759,60,16.7%,27,112.9,38,7.9%,26,0.47,22,16.9%
Marvin Bagley,24.6,DET,Big,450,75,19.5%,58,124.1,41,8.1%,20,0.42,43,14.3%
LaMelo Ball,22.2,CHA,Point,501,92,35.3%,54,114.6,86,38.8%,54,1.10,19,13.7%
Paolo Banchero,21.0,ORL,Big,1056,96,29.0%,17,109.0,92,21.6%,71,0.74,50,13.3%
Desmond Bane,25.4,MEM,Combo,1033,90,29.4%,85,120.4,77,26.0%,40,0.88,48,12.0%
Harrison Barnes,31.4,SAC,Forward,909,21,12.6%,92,128.1,21,5.9%,28,0.47,83,8.3%
Scottie Barnes,22.3,TOR,Forward,1087,86,25.2%,65,118.6,97,25.1%,93,1.00,28,12.1%
RJ Barrett,23.4,NYK,Forward,765,90,26.0%,24,106.1,74,12.3%,29,0.47,63,9.8%
Charles Bassey,23.0,SAS,Big,182,9,10.8%,96,147.1,75,13.6%,95,1.26,0,28.9%
Keita Bates-Diop,27.8,PHX,Forward,369,25,13.2%,7,96.4,33,7.3%,49,0.55,97,5.5%
Nicolas Batum,34.9,PHI,Big,420,0,8.1%,97,147.1,53,10.0%,95,1.24,83,9.9%
Bradley Beal,30.3,PHX,Combo,151,82,26.6%,37,108.6,67,23.8%,42,0.89,22,15.1%
Malik Beasley,26.9,MIL,Wing,889,14,12.1%,95,131.1,9,6.1%,19,0.50,90,7.5%
MarJon Beauchamp,22.1,MIL,Wing,413,16,12.2%,77,120.6,7,6.0%,15,0.49,12,15.3%
Patrick Beverley,35.3,PHI,Combo,504,12,14.2%,42,110.7,40,18.0%,82,1.26,73,10.1%
Saddiq Bey,24.6,ATL,Forward,993,44,14.6%,57,116.2,10,5.3%,15,0.37,67,9.6%
Goga Bitadze,24.3,ORL,Big,557,24,12.8%,68,126.8,55,10.4%,75,0.81,45,13.5%
Bismack Biyombo,31.2,MEM,Big,593,12,11.4%,22,110.9,49,9.6%,79,0.84,11,19.0%
Anthony Black,19.8,ORL,Combo,562,3,11.2%,77,119.5,10,11.4%,58,1.02,5,17.4%
Bogdan Bogdanovic,31.2,ATL,Wing,822,80,21.3%,72,120.2,70,13.9%,49,0.65,93,7.1%
Bojan Bogdanovic,34.5,DET,Forward,407,82,22.8%,61,117.0,64,11.7%,35,0.51,29,12.1%
Devin Booker,27.0,PHX,Combo,753,98,33.1%,82,120.1,100,36.7%,70,1.11,60,10.5%
Chris Boucher,30.8,TOR,Big,363,57,16.4%,34,115.8,0,2.3%,0,0.14,91,8.6%
Malaki Branham,20.5,SAS,Combo,668,40,18.6%,27,103.5,32,15.6%,32,0.84,37,13.5%
Christian Braun,22.5,DEN,Wing,643,54,16.8%,33,109.3,65,12.4%,59,0.74,70,9.6%
Mikal Bridges,27.2,BKN,Forward,1090,88,25.6%,50,114.6,82,16.5%,61,0.64,35,11.6%
Miles Bridges,25.6,CHA,Forward,647,78,21.9%,31,111.0,67,11.8%,43,0.54,68,9.3%
